Channel,Accuracy,Precision,Recall,F1,AUC
A-1,0.9285714285714286,0.0,0.0,0.0,0.6866793388743182
A-2,0.9232147427693883,0.0,0.0,0.0,0.184239781810632
A-3,0.9148673658235656,0.0,0.0,0.0,0.32645540806532075
A-4,0.9238095238095239,0.0,0.0,0.0,0.29098063650955985
A-5,0.9370781624210756,0.1956521739130435,0.30201342281879195,0.23746701846965698,0.6938002525084723
A-6,0.968986905582357,0.5091743119266054,0.7985611510791367,0.6218487394957983,0.9161146640352644
A-7,0.6651037393037159,0.0,0.0,0.0,0.07088954586814683
A-8,0.4901510574018127,0.0,0.0,0.0,0.7243378987379728
A-9,0.486321094312455,0.0,0.0,0.0,0.7371364653243848
B-1,0.9286253776435045,0.0,0.0,0.0,0.6009235335527693
C-1,0.7453789279112755,0.09174311926605505,0.021645021645021644,0.03502626970227671,0.7091923939750027
C-2,0.8026652998462327,0.23469387755102042,0.06906906906906907,0.10672853828306264,0.8058293151000196
D-1,0.6626233797122131,1.0,0.12922038060159607,0.22886653982060343,0.9722531184978533
D-11,0.928249897694721,0.0,0.0,0.0,0.4053420534784119
D-12,0.6955743156817601,1.0,0.13106973347937204,0.2317624273724984,0.9358388286540351
D-13,0.9657543302922121,0.0,0.0,0.0,0.6353761835689548
D-14,0.853069306930693,0.6850393700787402,0.20813397129186603,0.3192660550458716,0.6835440307201104
D-15,0.6336248785228377,0.02912621359223301,0.0045662100456621,0.007894736842105263,0.692735239125782
D-16,0.6642754662840746,0.7238095238095238,0.10146862483311081,0.17798594847775176,0.6094793057409881
D-2,0.47004120070629785,0.23294117647058823,0.023157894736842106,0.04212765957446808,0.643570965328012
D-3,0.6455503512880562,0.9063231850117096,0.11470065204505038,0.20363062352012629,0.9724791917239182
D-4,0.6622477009435089,1.0,0.1290421927933477,0.22858701582105836,0.9924436987424148
D-5,0.9387619553666312,0.0851063829787234,0.21476510067114093,0.1219047619047619,0.22356797041486315
D-6,0.9269013360739979,0.0,0.0,0.0,0.599462276729144
D-7,0.6161495624502784,0.24338624338624337,0.034061458718992965,0.0597596622279961,0.5859010728504465
D-8,0.9374839207615128,0.06683804627249357,0.174496644295302,0.09665427509293681,0.7957918362856199
D-9,0.7924993156309882,0.0,0.0,0.0,0.8500710474698445
E-1,0.8663260456273765,0.0,0.0,0.0,0.3228803510173047
E-10,0.8882807852468768,0.0,0.0,0.0,0.4832036296471443
E-11,0.8916092227240314,0.0,0.0,0.0,0.49101265669852373
E-12,0.8573466476462197,0.0,0.0,0.0,0.2399075563221449
E-13,0.8874707259953162,0.02810304449648712,0.021505376344086023,0.024365482233502538,0.4277349170041195
E-2,0.7725332068311196,0.0,0.0,0.0,0.2312843861986443
E-3,0.580967466796637,0.22384428223844283,0.028642590286425903,0.05078664090532708,0.13011616847233287
E-4,0.6224860673612794,0.24213075060532688,0.03444712366517396,0.06031363088057901,0.08313653324430684
E-5,0.9198193800341713,0.2097560975609756,0.2052505966587112,0.2074788902291918,0.3755229492974391
E-6,0.9570731707317073,0.2707317073170732,0.676829268292683,0.3867595818815331,0.7174099934441355
E-7,0.9714981729598051,0.6763990267639902,0.7335092348284961,0.7037974683544304,0.8665745267186195
E-8,0.864444971537002,0.0,0.0,0.0,0.5269039438049036
E-9,0.9173372348207754,0.22141119221411193,0.2026726057906459,0.2116279069767442,0.49115264527245295
F-1,0.9264497878359265,0.0,0.0,0.0,0.40219261667419776
F-2,0.6100164203612479,0.06791569086651054,0.009810554803788904,0.017144546260715342,0.7977885103602083
F-3,0.9573465442242629,0.24154589371980675,0.7194244604316546,0.3616636528028933,0.8998968208989401
F-4,0.9446116797110174,0.4550898203592814,0.44970414201183434,0.4523809523809524,0.8157160363849965
F-5,0.935374149659864,0.5052083333333334,0.3895582329317269,0.4399092970521542,0.8438511954338485
F-7,0.8169156237383932,0.11693548387096774,0.040446304044630406,0.06010362694300518,0.3244045532334693
F-8,0.7846669459572685,0.5916666666666667,0.13246268656716417,0.21646341463414634,0.7234693630711919
G-1,0.9237662803202294,0.0,0.0,0.0,0.13754265064291116
G-2,0.9308635174218427,0.0,0.0,0.0,0.6270912503358729
G-3,0.9308313052388881,0.0,0.0,0.0,0.6369914516731198
G-4,0.9596388741370154,0.26790450928381965,0.7829457364341085,0.39920948616600793,0.8870979395531039
G-6,0.9266978922716628,0.0,0.0,0.0,0.9112261945141124
G-7,0.9790641947282129,1.0,0.7046263345195729,0.826722338204593,0.8835869731663806
M-1,0.45016077170418006,0.3577981651376147,0.03344768439108062,0.0611764705882353,0.4815799787245955
M-2,0.5144694533762058,1.0,0.09348198970840481,0.17098039215686275,0.8240113468824068
M-3,0.8238776517020227,0.46078431372549017,0.1346704871060172,0.20842572062084258,0.5936935429338378
M-4,0.7801857585139319,0.10309278350515463,0.02865329512893983,0.04484304932735426,0.460292014764832
M-5,0.7684975034044484,0.0,0.0,0.0,0.6984340007446554
M-6,0.9486916367367881,1.0,0.494949494949495,0.6621621621621622,0.9871271250483129
M-7,0.953307392996109,1.0,0.5175879396984925,0.6821192052980133,0.8632094235312263
P-1,0.8400951814396193,0.14489311163895488,0.05837320574162679,0.08321964529331514,0.37079948512585814
P-10,0.9258333333333333,0.14,0.18340611353711792,0.15879017013232513,0.8207064535143721
P-11,0.8387190684133916,0.12209302325581395,0.049528301886792456,0.07046979865771812,0.6869050901411804
P-14,0.9248333333333333,0.21333333333333335,0.22939068100358423,0.22107081174438686,0.7653936731866937
P-15,0.9067489114658926,0.0,0.0,0.0,0.5093800887818154
P-2,0.8867924528301887,1.0,0.3066465256797583,0.46936416184971097,0.927796788276966
P-3,0.7791016323126415,0.0,0.0,0.0,0.31431082793560927
P-4,0.853963295587661,0.0,0.0,0.0,0.7054547759592218
P-7,0.7305231464057207,0.0,0.0,0.0,0.8275996992541451
R-1,0.9248320268756999,0.0,0.0,0.0,0.7317753973378465
S-1,0.8752593002350989,0.008287292817679558,0.005494505494505495,0.006607929515418502,0.32358609976411024
S-2,0.8865083960625362,0.0,0.0,0.0,0.5781290754244113
T-1,0.7464755639097744,0.0,0.0,0.0,0.7931969878122723
T-12,0.9081545064377683,0.5213675213675214,0.2785388127853881,0.3630952380952381,0.8087794094426022
T-13,0.8579399141630901,1.0,0.2611607142857143,0.41415929203539825,0.7089307063154698
T-2,0.74158357771261,0.00936768149882904,0.002242152466367713,0.003618272274988693,0.8563115710500566
T-3,0.9523528718009199,0.4716981132075472,0.5263157894736842,0.4975124378109453,0.6846603869223621
T-4,0.8710439300897497,0.0,0.0,0.0,0.4804913250422233
T-5,0.8914069877242682,0.0,0.0,0.0,0.40847542627883654
T-8,0.7878787878787878,0.4788732394366197,0.11409395973154363,0.1842818428184282,0.7105831921402871
T-9,0.7600401606425703,1.0,0.17301038062283736,0.2949852507374631,0.9610029218443348
